Project Name,Draw Request #,ILTR #,Date of Invoice,Date Received by Project Manager,Date Received by Owning Department,Date Approved by Owning Department,Date Sent to Accounting,Date Approved by Accounting,Date Sent to City OCD Fiscal Unit,Date Sent to State Consultant,Date Sent to State OCD,Date Sent to State Finance,Date Payment Made to City,Date Payment Hit City's Bank,Date Vendor Paid,Vendor Contract - Sub-Recipient Contract - Project - Owning Department,Vendor,Invoice Status,Record ID#
Sanchez Community Center,00-024,ILTR-00240,01-07-2015,12-11-2014,12-11-2014,12-12-2014,01-29-2015,01-28-2015,01-28-2015,01-28-2015,01-28-2015,01-29-2015,02-09-2015,02-10-2015,02-13-2015,CPA,Gibbs Construction,12 Paid,10117
VAMC Land Acquisition & Relocation - Public Facilities,00-634,ILTR-00122,01-14-2015,01-21-2015,01-27-2015,01-27-2015,01-28-2015,01-29-2015,01-29-2015,01-29-2015,01-29-2015,01-29-2015,02-09-2015,02-10-2015,02-10-2015,DPW,"Fleming Construction Co., L.L.C.",12 Paid,10118
VAMC Land Acquisition & Relocation - Public Facilities,00-635,ILTR-00122,01-21-2015,01-28-2015,01-29-2015,01-29-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-03-2015,03-04-2015,03-05-2015,03-05-2015,DPW,N.Y. Associates,12 Paid,10119
VAMC Land Acquisition & Relocation - Public Facilities,00-636,ILTR-00122,01-22-2015,01-28-2015,01-29-2015,01-29-2015,01-30-2015,01-30-2015,01-30-2015,02-02-2015,02-02-2015,02-03-2015,03-04-2015,03-05-2015,03-05-2015,DPW,N.Y. Associates,12 Paid,10120
Program Management & Monitoring,00-105,ILTR-00238,01-27-2015,01-27-2015,01-27-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-13-2015,02-17-2015,02-24-2015,OCD,Environ International Corp.,12 Paid,10121
Program Management & Monitoring,00-105,ILTR-00238,01-27-2015,01-27-2015,01-27-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-13-2015,02-17-2015,02-24-2015,OCD,Environ International Corp.,12 Paid,10122
Program Management & Monitoring,00-105,ILTR-00238,01-27-2015,01-27-2015,01-27-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-02-2015,02-13-2015,02-17-2015,02-24-2015,OCD,Environ International Corp.,12 Paid,10123
Joe Bartholomew Multi Purpose Center,00-014,ILTR-00284,12-11-2014,12-30-2014,12-30-2014,12-30-2014,02-03-2015,02-03-2015,02-03-2015,02-03-2015,02-03-2015,02-03-2015,02-20-2015,02-23-2015,02-05-2015,CPA,"Icon Construction Group, LLC",12 Paid,10124
Carrollton Intersection Improvements,00-031,ILTR-00104,11-18-2015,11-24-2015,02-03-2015,02-03-2015,02-06-2015,02-09-2015,02-23-2015,03-23-2015,03-23-2015,03-23-2015,03-30-2015,03-31-2015,03-30-2015,DPW,"Urban Systems, Inc.",12 Paid,10125
Bayou Road Streetscape,00-019,ILTR-00013,01-08-2015,01-12-2015,02-02-2015,02-02-2015,02-03-2015,02-04-2015,02-04-2015,02-04-2015,02-04-2015,02-06-2015,02-20-2015,02-23-2015,02-19-2015,DPW,"Hard Rock Construction, LLC",12 Paid,10126
Interim Nuisance Abatement/CNAP,00-147,ILTR-00054,01-21-2015,02-02-2015,02-02-2015,02-02-2015,02-03-2015,02-03-2015,02-03-2015,02-03-2015,02-03-2015,02-04-2015,02-13-2015,02-17-2015,02-13-2015,OCD,NORA (Direct Cost),12 Paid,10127
Public Facilities Environmental Testing & Remediation,00-015,ILTR-00271,01-29-2015,02-02-2015,01-29-2015,02-02-2015,02-03-2015,02-03-2015,02-03-2015,02-03-2015,02-03-2015,02-03-2015,02-13-2015,02-17-2015,02-15-2015,,"McDonnel Group, LLC",12 Paid,10128
Lafitte Greenway,00-044,ILTR-00003,01-14-2015,01-26-2015,02-09-2015,02-09-2015,02-10-2015,02-11-2015,02-11-2015,02-12-2015,02-12-2015,02-16-2015,03-05-2015,03-06-2015,02-26-2015,DPW,"Durr Heavy Construction, LLC",12 Paid,10129
Lafitte Greenway,00-043,ILTR-00003,01-14-2015,01-26-2015,02-05-2015,02-05-2015,02-06-2015,02-09-2015,02-09-2015,02-09-2015,02-09-2015,02-09-2015,02-25-2015,02-26-2015,02-26-2015,DPW,"Durr Heavy Construction, LLC",12 Paid,10130
Lafitte Greenway,00-042,ILTR-00003,01-14-2015,01-26-2015,02-05-2015,02-05-2015,02-06-2015,02-09-2015,02-09-2015,02-09-2015,02-09-2015,02-09-2015,02-25-2015,02-26-2015,03-02-2015,DPW,"Burk-Kleinpeter, Inc.",12 Paid,10131
Interim Nuisance Abatement/CNAP,00-148,ILTR-00054,01-27-2015,02-04-2015,02-04-2015,02-06-2015,02-09-2015,02-09-2015,02-09-2015,02-09-2015,02-09-2015,02-12-2015,03-06-2015,03-09-2015,03-19-2015,OCD,NORA (Direct Cost),12 Paid,10132
Bayou Road Streetscape,00-023,ILTR-00013,05-13-2015,05-19-2015,05-19-2015,11-24-2015,11-30-2015,11-30-2015,11-30-2015,12-01-2015,12-01-2015,12-02-2015,12-11-2015,12-14-2015,12-17-2015,DPW,"Fugro Consultants, Inc.",12 Paid,10133
Joe Bartholomew Multi Purpose Center,00-015,ILTR-00284,11-20-2014,11-20-2014,02-06-2015,02-06-2015,02-11-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-16-2015,03-05-2015,03-06-2015,04-28-2015,CPA,"Icon Construction Group, LLC",12 Paid,10134
Public Greenspace Tree Replacement & Restoration Phase II,00-024,ILTR-00248,01-07-2015,02-06-2015,02-06-2015,02-06-2015,02-11-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-16-2015,03-04-2015,03-05-2015,03-09-2015,CPA,"Rotolo Consultants, Inc.",12 Paid,10135
Methodist Hospital Acquisition,00-122,ILTR-00167,12-31-2014,02-11-2015,02-11-2015,02-11-2015,02-11-2015,02-11-2015,02-11-2015,02-11-2015,02-11-2015,,07-17-2015,07-20-2015,02-20-2015,OCD,Loans,12 Paid,10136
Interim Nuisance Abatement/CNAP,00-149,ILTR-00054,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Environmental Specialist III,12 Paid,10137
Interim Nuisance Abatement/CNAP,00-149,ILTR-00054,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,10138
Interim Nuisance Abatement/CNAP,00-149,ILTR-00054,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Hospitalization (BCCPY),12 Paid,10139
Interim Nuisance Abatement/CNAP,00-149,ILTR-00054,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10140
Interim Nuisance Abatement/CNAP,00-149,ILTR-00054,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Life Insurance (LICPY),12 Paid,10141
Interim Nuisance Abatement/CNAP,00-149,ILTR-00054,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10142
Interim Nuisance Abatement/CNAP,00-149,ILTR-00054,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Blackberries/Communication (admin),12 Paid,10143
Reinventing the Crescent: Downriver Park,00-119,ILTR-00039,02-03-2015,02-12-2015,02-12-2015,02-12-2015,03-04-2015,03-04-2015,03-05-2015,03-06-2015,03-06-2015,03-09-2015,03-16-2015,03-17-2015,03-19-2015,DPW,Gibbs Construction,12 Paid,10144
Reinventing the Crescent: Downriver Park,00-118,ILTR-00039,01-16-2015,02-12-2015,02-12-2015,02-12-2015,02-18-2015,02-19-2015,02-19-2015,02-19-2015,02-19-2015,02-23-2015,03-06-2015,03-09-2015,03-10-2015,DPW,The Tobler Company,12 Paid,10145
Strategic Demolition,00-161,ILTR-00174,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Office Assistant II #1,12 Paid,10146
Strategic Demolition,00-161,ILTR-00174,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Office Assistant II #2,12 Paid,10147
Strategic Demolition,00-161,ILTR-00174,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Office Assistant II #3,12 Paid,10148
Strategic Demolition,00-161,ILTR-00174,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,10149
Strategic Demolition,00-161,ILTR-00174,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Hospitalization (BCCPY),12 Paid,10150
Strategic Demolition,00-161,ILTR-00174,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10151
Strategic Demolition,00-161,ILTR-00174,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Life Insurance (LICPY),12 Paid,10152
Strategic Demolition,00-161,ILTR-00174,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-25-2015,02-26-2015,02-26-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10153
Broad/Washington Streetscape,00-009,ILTR-00189,01-27-2015,01-27-2015,02-24-2015,02-24-2015,02-26-2015,02-26-2015,02-26-2015,02-26-2015,02-26-2015,03-02-2015,03-13-2015,03-16-2015,03-12-2015,DPW,"Command Construction Industries, L.L.C.",12 Paid,10154
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Administrative Assistant,12 Paid,10156
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Accountant I (#1),12 Paid,10157
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,DCDBG Fiscal Analyst #3,12 Paid,10158
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Policy Analyst-B,12 Paid,10159
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Placed Based Planner,12 Paid,10160
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Attorney III (#1),12 Paid,10161
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Auditor I,12 Paid,10162
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Environmental Review Specialist,12 Paid,10163
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Documentation Support Specialist II #2,12 Paid,10164
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Documentation Support Specialist II #1,12 Paid,10165
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,DCDBG Fiscal Analyst #2,12 Paid,10166
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,DCDBG Fiscal Analyst #1,12 Paid,10167
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Recovery Finance Deputy Director - A,12 Paid,10168
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Attorney II,12 Paid,10169
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Program Assistant/UPS III - B,12 Paid,10170
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,10171
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Hospitalization (BCCPY),12 Paid,10172
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10173
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Life Insurance (LICPY),12 Paid,10174
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10175
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Blackberries/Communication (admin),12 Paid,10176
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Travel,12 Paid,10177
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Travel,12 Paid,10178
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Miscellaneous,12 Paid,10179
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Miscellaneous,12 Paid,10180
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Miscellaneous,12 Paid,10181
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Computers & Software (admin),12 Paid,10182
Program Administrative Costs,00-110,ILTR-00046,01-20-2015,01-20-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Miscellaneous,12 Paid,10183
Code Enforcement Staffing,00-077,ILTR-00040,01-19-2015,01-19-2015,01-19-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Attorney II - A,12 Paid,10184
Code Enforcement Staffing,00-077,ILTR-00040,01-19-2015,01-19-2015,01-19-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Program Specialist-A,12 Paid,10185
Code Enforcement Staffing,00-077,ILTR-00040,01-19-2015,01-19-2015,01-19-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Sr. Attorney,12 Paid,10186
Code Enforcement Staffing,00-077,ILTR-00040,01-19-2015,01-19-2015,01-19-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,10187
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Building Inspector #2,12 Paid,10188
Code Enforcement Staffing,00-077,ILTR-00040,01-19-2015,01-19-2015,01-19-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Hospitalization (BCCPY),12 Paid,10189
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Sr. Building Inspector #4,12 Paid,10190
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Sr. Building Inspector #1,12 Paid,10191
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Sr. Building Inspector #3,12 Paid,10192
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Sr. Elec Inspector,12 Paid,10193
Code Enforcement Staffing,00-077,ILTR-00040,01-19-2015,01-19-2015,01-19-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10194
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Sr. Mechanical Equiq Inspector,12 Paid,10195
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Sr. Building Inspector #2,12 Paid,10196
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Building Inspector #3,12 Paid,10197
Code Enforcement Staffing,00-077,ILTR-00040,01-19-2015,01-19-2015,01-19-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Life Insurance (LICPY),12 Paid,10198
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Building Inspector #4,12 Paid,10199
Code Enforcement Staffing,00-077,ILTR-00040,01-19-2015,01-19-2015,01-19-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10200
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Building Inspector #5,12 Paid,10201
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Electrical Inspector #1,12 Paid,10202
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Electrical Inspector #2,12 Paid,10203
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Mechanical Inspector ,12 Paid,10204
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Sr. Building Inspector #5,12 Paid,10205
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Building Inspector #6,12 Paid,10206
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,10207
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Hospitalization (BCCPY),12 Paid,10208
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10209
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Life Insurance (LICPY),12 Paid,10210
Safety and Permits Staffing,00-027,ILTR-00280,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10211
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Development Specialist #6,12 Paid,10212
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Development Specialist #9,12 Paid,10213
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Development Specialist #7,12 Paid,10214
