Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
Recovery Program - Lakeshore,C&S Consultants,Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2012,04-22-2013,04-25-2013,04-25-2013,05-23-2013,05-24-2013,05-24-2013,08-05-2013,08-05-2013,11165,"$15,701.2"
Patterson Drive Extension Phase I (Hendee St. to Heerman St),Fleming Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2013,04-04-2013,04-22-2013,05-03-2013,05-17-2013,05-21-2013,06-21-2013,05-24-2013,05-24-2013,11150,"$108,357"
Recovery Program - Broadmoor,Digital Engineering and Imaging,Architect/Engineer,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-02-2013,04-16-2013,04-22-2013,04-22-2013,10-21-2013,10-21-2013,10-21-2013,10-25-2013,10-25-2013,11857,"$31,998.16"
Recovery Program - St. Roch - SWB,"N-Y Associates, Inc.",Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2013,04-11-2013,04-16-2013,05-16-2013,05-30-2013,06-05-2013,06-05-2013,08-26-2013,08-26-2013,11123,"$3,612.3"
Recovery Program - Lakewood - SWB,Phoenix Global Engineering,Architect/Engineer,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-28-2013,04-16-2013,04-16-2013,04-17-2013,11-01-2013,11-01-2013,11-01-2013,11-21-2013,11-21-2013,12052,"$59,875.05"
Audubon Blvd. (Willow St - S. Claiborne Ave),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2012,04-11-2013,04-11-2013,04-12-2013,04-12-2013,04-12-2013,04-12-2013,04-17-2013,04-17-2013,9147,"$158,607.76"
Safe Routes to School - EP Harney,Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-01-2012,03-28-2013,04-04-2013,04-04-2013,04-11-2013,04-11-2013,04-11-2013,04-17-2013,04-17-2013,9081,"$5,013.15"
Safe Routes to School - EP Harney,Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-27-2013,03-29-2013,04-04-2013,04-04-2013,04-11-2013,04-11-2013,04-11-2013,04-17-2013,04-17-2013,10960,$263.85
Earhart Blvd Segment I (Hamilton St - Fern St),Command Construction,General Contractor,yes,City Only,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,02-27-2013,03-13-2013,04-02-2013,04-02-2013,04-03-2013,04-03-2013,04-03-2013,04-03-2013,04-03-2013,11015,$0
Arise Academy - Safe Routes to School (K08-572) State ID 737-99-1024,ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-03-2012,03-27-2013,03-28-2013,03-28-2013,04-05-2013,04-05-2013,04-05-2013,05-16-2013,07-26-2013,11000,"$10,014.43"
International School of LA - Safe Routes to School State ID 737-99-1024,ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-03-2012,03-27-2013,03-28-2013,03-28-2013,04-10-2013,04-10-2013,04-10-2013,04-15-2013,06-04-2013,11002,"$10,046.72"
Esperanza Charter School - Safe Routes to School (K09-886)  State ID 737-99-1024,ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-03-2012,03-27-2013,03-28-2013,03-28-2013,04-05-2013,04-09-2013,04-09-2013,04-11-2013,04-11-2013,11003,"$9,070.6"
Algiers (Traffic Signal),Diamond Electric,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-01-2012,03-25-2013,03-27-2013,03-28-2013,01-15-2013,04-01-2013,04-01-2013,04-03-2013,04-03-2013,10358,"$418,118.77"
Pedestrian Crossing/Local Road Safety Program (Phase I & II),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-19-2013,03-20-2013,03-25-2013,03-27-2013,04-09-2013,04-09-2013,04-09-2013,04-11-2013,04-11-2013,10954,$261.2
Pedestrian Crossing/Local Road Safety Program (Phase I & II),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-18-2013,03-18-2013,03-25-2013,03-27-2013,04-09-2013,04-09-2013,04-09-2013,04-11-2013,04-11-2013,10959,$261.2
Patterson Drive Extension Phase I (Hendee St. to Heerman St),C&S Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2013,03-21-2013,03-22-2013,04-08-2013,04-10-2013,04-10-2013,04-10-2013,04-10-2013,04-10-2013,10527,"$14,593.78"
Lake Forest Blvd. Widening (Eastover Dr - I-510),Hartman Engineering,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-28-2013,03-11-2013,03-21-2013,03-22-2013,04-05-2013,04-05-2013,04-05-2013,04-11-2013,04-11-2013,10939,"$5,461.5"
Park Island Bridge over Bayou St. John,La Department of Transportation,Government,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-18-2013,03-18-2013,03-21-2013,04-01-2013,04-09-2013,04-09-2013,04-09-2013,04-11-2013,04-11-2013,11024,"$25,546.27"
FEMA Arbitration,"Baker, Donaldson, Bearman, Caldwell & Perkowitz",Other,yes,City Only,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,02-28-2013,03-15-2013,03-21-2013,03-21-2013,,,,,,12587,"$7,612.52"
"Berkley Dr (Kabel Dr - Huntlee Dr), Somerset Dr (Berkley Dr - MacArthur Blvd)",Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-15-2013,01-15-2013,03-19-2013,03-19-2013,03-27-2013,03-27-2013,03-27-2013,04-03-2013,04-03-2013,10936,"$534,895.6"
Fleur de Lis Phase I (Veterans - I-610),La Department of Transportation,Government,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-06-2013,03-06-2013,03-13-2013,04-01-2013,04-09-2013,04-09-2013,04-09-2013,04-11-2013,04-11-2013,11023,"$158,317.73"
Algiers (Traffic Signal),"AECOM USA, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-22-2013,03-04-2013,03-11-2013,03-12-2013,03-19-2013,03-19-2013,03-19-2013,03-27-2013,06-04-2013,10853,"$33,418.4"
St. Charles Avenue Overlay (Phase I & II),"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-23-2013,02-26-2013,03-05-2013,03-05-2013,04-05-2013,04-08-2013,04-08-2013,04-11-2013,06-04-2013,10798,"$26,873.51"
Recovery Program - Marlyville-Fontainebleau,"Schrenk Endom Flanagan, LLC",Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-28-2013,03-04-2013,03-05-2013,03-05-2013,06-11-2013,06-11-2013,06-11-2013,10-17-2013,10-17-2013,10800,"$256,241.53"
Capital Street Light Replacement Energy Efficiency Project,"GE Government Finance, Inc",Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-15-2013,01-02-2013,03-05-2013,03-05-2013,03-28-2013,03-28-2013,03-28-2013,04-03-2013,04-03-2013,10812,"$586,113.8"
Lakefront/Holy Cross Traffic Signals,Diamond Electric,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-01-2013,03-01-2013,03-01-2013,03-07-2013,04-24-2013,04-24-2013,04-24-2013,04-26-2013,04-30-2013,10490,"$505,913.96"
Vienna (Corinne - Nighthart),URS Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-04-2012,02-22-2013,02-22-2013,02-22-2013,03-04-2013,03-05-2013,03-05-2013,03-07-2013,03-07-2013,8946,"$4,234"
Recovery Program - Treme - Lafitte,Meyer Engineers,Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-28-2012,02-07-2013,02-18-2013,02-18-2013,02-28-2013,03-04-2013,03-04-2013,03-18-2013,03-18-2013,10352,"$90,423.3"
Cherokee St (Hampson St - Freret St),Julien Engineering & Consulting,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2012,01-23-2013,02-15-2013,02-15-2013,03-26-2013,03-26-2013,03-26-2013,03-27-2013,03-27-2013,10481,"$20,463"
Hurricane Isaac: Force Account Labor/Equipment,Grainger,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-27-2012,08-27-2012,02-15-2013,02-15-2013,05-28-2013,05-29-2013,05-29-2013,05-31-2013,05-31-2013,10774,$300.91
Hurricane Isaac: Force Account Labor/Equipment,Grainger,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2012,08-30-2012,02-15-2013,02-15-2013,05-28-2013,05-29-2013,05-29-2013,05-31-2013,05-31-2013,10775,$552.37
Hurricane Isaac: Force Account Labor/Equipment,Grainger,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-04-2012,09-04-2012,02-15-2013,02-15-2013,05-29-2013,05-29-2013,05-29-2013,05-31-2013,05-31-2013,10776,$8.18
Hurricane Isaac: Force Account Labor/Equipment,Grainger,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-05-2012,09-05-2012,02-15-2013,02-15-2013,05-28-2013,05-29-2013,05-29-2013,05-31-2013,05-31-2013,10777,$45
Hurricane Isaac: Force Account Labor/Equipment,Grainger,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-21-2012,09-21-2012,02-15-2013,02-15-2013,05-28-2013,05-29-2013,05-29-2013,05-31-2013,05-31-2013,10778,$141.53
Hurricane Isaac: Force Account Labor/Equipment,Grainger,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-21-2012,09-21-2012,02-15-2013,02-15-2013,05-28-2013,05-29-2013,05-29-2013,05-31-2013,05-31-2013,10779,"$1,529.87"
Hurricane Isaac: Force Account Labor/Equipment,Grainger,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-21-2012,09-21-2012,02-15-2013,02-15-2013,05-28-2013,05-29-2013,05-29-2013,05-31-2013,05-31-2013,10780,$814.5
Recovery Program - St. Roch - SWB,"N-Y Associates, Inc.",Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2012,02-08-2013,02-13-2013,02-18-2013,02-28-2013,03-04-2013,03-04-2013,03-25-2013,03-25-2013,10472,"$68,633.61"
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson), Octavia (Freret - Claiborne)",Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2013,02-07-2013,02-13-2013,02-13-2013,05-29-2013,05-29-2013,05-29-2013,05-30-2013,05-30-2013,10602,"$45,847"
Cherokee St (Hampson St - Freret St),Julien Engineering & Consulting,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2011,02-11-2013,02-11-2013,02-11-2013,03-26-2013,03-26-2013,03-26-2013,03-27-2013,03-27-2013,10480,"$9,208.35"
Recovery Program - Milneburg - SWB,Hatch Mott MacDonald LLC,Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2013,02-08-2013,02-11-2013,02-20-2013,02-28-2013,03-05-2013,03-05-2013,04-12-2013,04-12-2013,10589,"$266,704.36"
Algiers (Traffic Signal),"AECOM USA, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-25-2013,01-31-2013,02-11-2013,02-14-2013,02-28-2013,02-28-2013,02-28-2013,03-05-2013,06-04-2013,10597,"$34,487.04"
Hurricane Isaac: Force Account Labor/Equipment,AeroPremier Jet Center,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-24-2012,09-24-2012,02-08-2013,02-01-2013,05-16-2013,05-16-2013,05-16-2013,05-21-2013,05-21-2013,10554,$900
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-02-2013,02-05-2013,02-08-2013,02-08-2013,02-26-2013,02-27-2013,02-27-2013,03-01-2013,03-01-2013,10560,"$10,600"
Algiers (Traffic Signal),"PSI, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2012,02-08-2013,02-08-2013,02-11-2013,03-21-2013,03-21-2013,03-21-2013,03-26-2013,03-26-2013,10582,$259.75
Algiers (Traffic Signal),"PSI, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2012,02-08-2013,02-08-2013,02-11-2013,03-21-2013,03-21-2013,03-21-2013,03-26-2013,03-26-2013,10583,"$1,720.21"
Algiers (Traffic Signal),"PSI, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2012,02-08-2013,02-08-2013,02-11-2013,03-21-2013,03-21-2013,03-21-2013,03-26-2013,03-26-2013,10584,$471.81
St. Charles Avenue Overlay (Phase I & II),"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2012,01-09-2013,02-07-2013,02-07-2013,04-05-2013,04-08-2013,04-08-2013,04-11-2013,05-28-2013,10528,"$24,160.23"
Lake Forest Blvd. Widening (Eastover Dr - I-510),Hartman Engineering,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2013,02-01-2013,02-07-2013,02-07-2013,03-05-2013,03-08-2013,03-08-2013,03-11-2013,03-11-2013,10529,"$5,461.5"
Arise Academy - Safe Routes to School (K08-572) State ID 737-99-1024,ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-29-2012,01-16-2013,02-06-2013,02-08-2013,03-05-2013,03-08-2013,03-08-2013,03-11-2013,03-11-2013,10519,"$1,638.75"
Esperanza Charter School - Safe Routes to School (K09-886)  State ID 737-99-1024,ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-29-2012,01-17-2013,02-06-2013,02-08-2013,03-05-2013,03-08-2013,03-08-2013,03-11-2013,03-11-2013,10520,"$5,168.95"
International School of LA - Safe Routes to School State ID 737-99-1024,ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-29-2012,01-17-2013,02-06-2013,02-08-2013,03-04-2013,03-04-2013,03-05-2013,03-11-2013,03-11-2013,10521,"$1,936.1"
"Homedale (Canal - West End), Center (33rd - Tacoma), Milne (Homedale - Florida), Walker (Marshal-Orl",Integrated Management Services,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-30-2013,01-30-2013,02-06-2013,02-06-2013,02-14-2013,02-14-2013,02-14-2013,02-21-2013,02-21-2013,10523,"$14,460"
St. Charles Avenue Overlay (Phase I & II),"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2013,01-31-2013,02-06-2013,02-08-2013,04-05-2013,04-09-2013,04-09-2013,04-15-2013,05-28-2013,10552,"$17,915.67"
Recovery Program - Pontchartrain Park,"Stanley Consultants, Inc",Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2012,01-28-2013,01-30-2013,01-31-2013,02-26-2013,02-27-2013,02-27-2013,03-11-2013,03-11-2013,10461,"$152,682.41"
Recovery Program - Lower Garden District/CBD - SWB,"Burk-Kleinpeter, Inc",Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2012,01-11-2013,01-28-2013,01-30-2013,02-07-2013,02-07-2013,02-07-2013,02-25-2013,02-25-2013,10482,"$141,075"
Hurricane Isaac: Force Account Labor/Equipment,State of Louisiana,Government,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-31-2013,01-10-2013,01-25-2013,03-14-2013,05-28-2013,05-29-2013,05-29-2013,05-31-2013,05-31-2013,10878,"$3,580.2"
Hurricane Isaac Drain and Catch Basin Clean-out,Magnum Construction Group,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-12-2012,11-13-2012,01-24-2013,01-24-2013,06-06-2014,06-09-2014,06-09-2014,06-11-2014,06-11-2014,10465,"$1,334,853.53"
Hurricane Isaac Drain and Catch Basin Clean-out,Magnum Construction Group,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-13-2012,11-14-2012,01-24-2013,01-28-2013,06-12-2014,06-13-2014,06-13-2014,06-20-2014,06-20-2014,10466,"$288,703.44"
Hurricane Isaac Drain and Catch Basin Clean-out,Magnum Construction Group,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-12-2012,12-13-2012,01-24-2013,01-28-2013,02-25-2013,02-26-2013,02-26-2013,02-28-2013,02-28-2013,10467,"$39,763.05"
"Gordon (Chartres - St. Claude), Flood (Peters - St. Claude)",Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2012,01-16-2013,01-23-2013,01-23-2013,02-07-2013,02-07-2013,02-07-2013,02-14-2013,02-18-2013,10463,"$280,384.98"
"Gordon (Chartres - St. Claude), Flood (Peters - St. Claude)",Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2012,01-10-2013,01-22-2013,01-22-2013,01-23-2013,01-23-2013,01-23-2013,01-25-2013,01-29-2013,9868,"$153,517.55"
Hurricane Isaac: Force Account Labor/Equipment,3south,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-04-2012,09-04-2012,01-17-2013,01-17-2013,03-05-2013,03-05-2013,03-05-2013,03-11-2013,03-11-2013,10429,"$9,008.64"
Algiers (Traffic Signal),"AECOM USA, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-28-2012,01-17-2013,01-15-2013,01-17-2013,02-05-2013,02-06-2013,02-06-2013,02-13-2013,06-04-2013,10387,"$43,215.55"
Audubon Blvd. (Willow St - S. Claiborne Ave),Thigpen Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2012,01-08-2013,01-14-2013,01-15-2013,02-11-2013,02-13-2013,02-13-2013,02-14-2013,02-14-2013,10360,"$5,125.82"
Recovery Program - Lakeshore,C&S Consultants,Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2012,01-09-2013,01-11-2013,01-15-2013,01-22-2013,01-22-2013,01-22-2013,02-04-2013,02-04-2013,10226,"$71,607.58"
Recovery Program - Lakeview Quadrant 2,Richard C. Lambert,Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-02-2013,01-10-2013,01-11-2013,01-16-2013,01-30-2013,01-31-2013,01-31-2013,02-19-2013,02-19-2013,10367,"$224,630.53"
Hurricane Isaac: DPW Emergency Protective Measures & Repairs,"Naztec, Inc",Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-14-2012,11-11-2012,01-10-2013,01-10-2013,03-05-2013,03-05-2013,03-05-2013,03-08-2013,03-08-2013,10364,"$16,250"
FEMA Arbitration,"Baker, Donaldson, Bearman, Caldwell & Perkowitz",Other,yes,City Only,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,12-31-2012,01-17-2013,01-10-2013,01-10-2013,,,,,,12586,"$11,899.27"
Hurricane Isaac: DPW Emergency Protective Measures & Repairs,Royal Engineers & Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-17-2012,10-17-2012,01-09-2013,01-09-2013,01-18-2013,01-18-2013,01-18-2013,01-25-2013,01-25-2013,10351,"$162,540"
Hurricane Isaac: Force Account Labor/Equipment,"Jesco Enterprises, Inc.",Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-03-2013,01-03-2013,01-08-2013,01-14-2013,02-05-2013,02-05-2013,02-05-2013,02-11-2013,02-11-2013,10431,"$96,300"
Hurricane Isaac: DPW Emergency Protective Measures & Repairs,"Temple, Inc.",Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-10-2012,09-10-2012,01-07-2013,01-07-2013,01-30-2013,01-30-2013,01-30-2013,02-07-2013,02-07-2013,10333,"$6,825"
Hurricane Isaac: Force Account Labor/Equipment,Stewart and Stevenson,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-18-2012,09-18-2012,01-07-2013,01-07-2013,02-07-2013,02-07-2013,02-07-2013,02-14-2013,02-14-2013,10339,"$3,100"
Hurricane Isaac: Force Account Labor/Equipment,Stewart and Stevenson,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-13-2012,09-13-2012,01-07-2013,01-08-2013,02-07-2013,02-07-2013,02-07-2013,02-14-2013,02-14-2013,10340,"$7,431.1"
Hurricane Isaac: Force Account Labor/Equipment,Stewart and Stevenson,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-06-2012,09-06-2012,01-07-2013,01-08-2013,02-11-2013,02-11-2013,02-11-2013,02-14-2013,02-14-2013,10341,"$7,431.1"
Hurricane Isaac: Force Account Labor/Equipment,Stewart and Stevenson,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-01-2012,09-01-2012,01-07-2013,01-08-2013,02-07-2013,02-07-2013,02-07-2013,02-14-2013,02-14-2013,10342,"$10,631.1"
Hurricane Isaac: Force Account Labor/Equipment,Grainger,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-31-2012,08-31-2012,01-04-2013,01-14-2013,02-25-2013,02-25-2013,02-25-2013,02-28-2013,02-28-2013,10430,"$1,471.5"
Hurricane Isaac: Force Account Labor/Equipment,Grainger,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-05-2012,09-05-2012,01-03-2013,09-27-2012,02-27-2013,02-27-2013,02-27-2013,03-05-2013,03-05-2013,10305,$594
Hurricane Isaac: Force Account Labor/Equipment,Hewlett Packard Company,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-03-2012,10-03-2012,12-28-2012,12-28-2012,01-28-2013,01-29-2013,01-29-2013,01-30-2013,01-30-2013,10284,$635
Hurricane Isaac: Force Account Labor/Equipment,Hewlett Packard Company,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-27-2012,10-05-2012,12-28-2012,12-28-2012,01-29-2013,01-29-2013,01-29-2013,01-30-2013,01-30-2013,10285,$155
Holiday Dr (MacArthur - Behrman),Southern Earth Sciences,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2012,12-20-2012,12-21-2012,12-21-2012,12-27-2012,12-27-2012,12-27-2012,01-08-2013,01-08-2013,10245,"$7,068.53"
Holiday Dr (MacArthur - Behrman),Southern Earth Sciences,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2012,12-20-2012,12-21-2012,12-21-2012,12-27-2012,12-27-2012,12-27-2012,01-08-2013,01-08-2013,10246,"$1,356.45"
Holiday Dr (MacArthur - Behrman),Southern Earth Sciences,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2012,12-20-2012,12-21-2012,12-21-2012,12-27-2012,12-27-2012,12-27-2012,01-08-2013,01-08-2013,10247,"$9,629.15"
Holiday Dr (MacArthur - Behrman),Southern Earth Sciences,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2012,12-20-2012,12-21-2012,12-21-2012,12-27-2012,12-27-2012,12-27-2012,01-08-2013,01-08-2013,10248,"$9,454.65"
Holiday Dr (MacArthur - Behrman),Southern Earth Sciences,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2011,12-20-2012,12-21-2012,12-21-2012,12-27-2012,12-27-2012,12-27-2012,01-08-2013,01-08-2013,10249,$973.8
Recovery Program - Holy Cross - Part 1,Integrated Management Services,Architect/Engineer,no,S&WB,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-14-2012,12-17-2012,12-21-2012,01-16-2013,02-28-2013,03-04-2013,03-04-2013,03-18-2013,03-18-2013,10261,"$47,994.6"
Berkley Dr (Huntlee Canal - Woodland Dr),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2012,12-14-2012,12-19-2012,12-20-2012,01-08-2013,01-08-2013,01-08-2013,01-11-2013,01-14-2013,10227,"$300,449.89"
Hurricane Isaac: Force Account Labor/Equipment,Vidacare Corporation,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-01-2012,09-04-2012,12-18-2012,11-26-2012,01-07-2013,01-07-2013,01-07-2013,01-10-2013,01-10-2013,10212,"$19,925"
