Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Record ID#,Invoice Amount
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-29-2014,12-31-2014,01-14-2015,01-21-2015,03-05-2015,03-10-2015,03-10-2015,03-13-2015,16385,"$470,011.58"
Recovery Program - Mid-City,Infinity Engineering Consultants,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-07-2015,01-08-2015,01-13-2015,01-14-2015,01-22-2015,02-11-2015,02-11-2015,02-12-2015,16382,"$62,533.67"
Recovery Program - Venetian Isles,Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2014,01-07-2015,01-08-2015,01-13-2015,02-06-2015,03-13-2015,03-13-2015,03-16-2015,16355,"$148,245.93"
Recovery Program - St. Claude Quadrant 1,Julien Engineering & Consulting,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-05-2014,12-11-2014,01-08-2015,01-08-2015,01-13-2015,01-22-2015,01-22-2015,01-26-2015,16361,"$26,120.53"
Recovery Program - Lakeview Quadrant 1,Direct Mail Plus,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-30-2014,12-30-2014,01-07-2015,01-07-2015,01-13-2015,01-22-2015,01-22-2015,01-26-2015,16373,$403.06
Recovery Program - Pontchartrain Park,Southern Earth Sciences,Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-25-2014,12-18-2014,12-29-2014,09-11-2014,09-18-2014,03-17-2015,03-17-2015,03-18-2015,15363,"$52,117"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,"Ardaman & Associates, Inc",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-22-2014,12-22-2014,12-29-2014,01-05-2015,01-14-2015,01-22-2015,01-22-2015,01-26-2015,16319,"$8,094.6"
Recovery Program - Lower Ninth Ward Quadrant 3,Integrated Management Services,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2014,12-19-2014,12-23-2014,12-23-2014,01-02-2015,01-22-2015,01-22-2015,01-26-2015,16307,"$65,244.74"
Recovery Program - Holy Cross - Part 1,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-18-2014,12-08-2014,12-22-2014,12-22-2014,03-30-2015,04-06-2015,04-06-2015,04-06-2015,16068,$642
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-15-2014,12-15-2014,12-22-2014,01-05-2015,01-15-2015,03-13-2015,03-13-2015,03-19-2015,16270,"$4,704.95"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-15-2014,12-15-2014,12-22-2014,01-05-2015,01-14-2015,03-13-2015,03-13-2015,03-19-2015,16271,"$107,769.49"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-15-2014,12-15-2014,12-22-2014,01-05-2015,01-15-2015,03-13-2015,03-13-2015,03-19-2015,16337,"$35,895.54"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-24-2014,12-15-2014,12-16-2014,12-16-2014,12-29-2014,01-22-2015,01-22-2015,01-28-2015,16163,"$741,875.24"
Recovery Program - Filmore Quadrant 1,Professional Engineering Consultants Corp.,Supervision,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-05-2014,12-05-2014,12-16-2014,12-24-2014,01-02-2015,01-20-2015,01-20-2015,01-22-2015,16206,"$47,477.55"
Recovery Program - St. Claude Phase II Group 1,HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-21-2014,12-03-2014,12-12-2014,12-15-2014,01-02-2015,01-20-2015,01-20-2015,01-22-2015,16160,"$11,345.44"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-21-2014,12-05-2014,12-12-2014,12-15-2014,01-02-2015,01-20-2015,01-20-2015,01-22-2015,16161,"$14,162.5"
Recovery Program - Mid-City,Infinity Engineering Consultants,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-05-2014,12-03-2014,12-12-2014,12-15-2014,01-07-2015,01-20-2015,01-20-2015,01-22-2015,16177,"$31,266.84"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2014,12-02-2014,12-10-2014,12-12-2014,01-02-2015,01-20-2015,01-20-2015,01-22-2015,14735,"$5,005"
Recovery Program - Venetian Isles,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2014,10-02-2014,11-24-2014,12-01-2014,12-03-2014,12-16-2014,12-16-2014,12-17-2014,16021,"$5,437.5"
Recovery Program - Central City,"C. H. Fenstermaker & Associates, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-24-2014,11-15-2014,11-24-2014,12-08-2014,01-07-2015,04-22-2015,04-22-2015,04-24-2015,16023,"$3,963.67"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2014,11-04-2014,11-24-2014,11-25-2014,12-10-2014,01-07-2015,01-07-2015,01-07-2015,16026,"$381,792.41"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2014,11-12-2014,11-24-2014,11-25-2014,12-16-2014,01-07-2015,01-07-2015,01-07-2015,16027,"$82,821.99"
"Recovery Program - BW Cooper, Dixon, Gert Town","CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-01-2014,11-04-2014,11-20-2014,11-20-2014,12-04-2014,12-16-2014,12-16-2014,12-19-2014,16003,"$40,885.29"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2014,11-12-2014,11-20-2014,11-24-2014,12-02-2014,12-16-2014,12-16-2014,12-16-2014,16005,"$32,767.48"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2014,11-12-2014,11-20-2014,11-24-2014,12-08-2014,12-22-2014,12-22-2014,12-24-2014,16006,$143.57
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2014,11-12-2014,11-20-2014,11-24-2014,12-05-2014,12-22-2014,12-22-2014,12-24-2014,16007,"$10,255.28"
Recovery Program - Lake Terrace & Oaks - SWB,Mott MacDonald LLC,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2014,10-31-2014,11-17-2014,11-18-2014,12-04-2014,01-20-2015,01-20-2015,01-22-2015,15975,"$16,290.79"
Recovery Program - Lower Ninth Ward Quadrant 1,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2014,11-03-2014,11-11-2014,11-11-2014,11-18-2014,12-05-2014,12-05-2014,12-10-2014,15915,"$10,774.26"
Recovery Program - Touro,Direct Mail Plus,Other,no,Express Pay/City,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-27-2014,10-27-2014,11-07-2014,11-07-2014,11-13-2014,11-19-2014,11-19-2014,11-19-2014,15955,$796.19
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-24-2004,10-31-2014,11-03-2014,11-04-2014,11-11-2014,12-03-2014,12-03-2014,12-10-2014,15853,"$28,325"
Recovery Program - St. Claude Phase II Group 1,HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-24-2014,10-29-2014,11-03-2014,11-04-2014,11-13-2014,12-03-2014,12-03-2014,12-10-2014,15854,"$13,411.05"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,"Ardaman & Associates, Inc",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-17-2014,10-21-2014,10-28-2014,10-31-2014,11-13-2014,12-03-2014,12-03-2014,12-05-2014,15817,"$10,108.8"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-26-2014,10-16-2014,10-27-2014,10-28-2014,11-11-2014,11-26-2014,11-26-2014,12-05-2014,15792,"$121,797.5"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-22-2014,10-16-2014,10-27-2014,10-28-2014,11-11-2014,11-26-2014,11-26-2014,12-05-2014,15793,"$76,477.5"
Recovery Program - Iberville/ Tulane Gravier - SWB,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2014,10-23-2014,10-24-2014,10-27-2014,11-03-2014,11-19-2014,11-19-2014,11-24-2014,15776,"$6,329.34"
Recovery Program - Gentilly Woods,"Terracon Consultants, Inc",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-02-2014,10-16-2014,10-22-2014,10-22-2014,11-03-2014,11-19-2014,11-19-2014,11-20-2014,15752,"$11,143"
Recovery Program - St. Anthony Quadrant 1,"Stratum Engineering, LLC",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,10-09-2014,10-20-2014,10-20-2014,11-04-2014,11-19-2014,11-19-2014,11-20-2014,15282,"$36,987"
Recovery Program - St. Anthony Quadrant 2,"Stratum Engineering, LLC",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-15-2014,10-01-2014,10-20-2014,10-20-2014,11-04-2014,12-03-2014,12-03-2014,12-05-2014,15459,"$27,320"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-07-2014,10-07-2014,10-13-2014,10-16-2014,10-30-2014,11-19-2014,11-19-2014,11-24-2014,15678,"$6,586.92"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-07-2014,10-07-2014,10-13-2014,10-16-2014,10-30-2014,11-19-2014,11-19-2014,11-24-2014,15679,"$38,109.49"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-07-2014,10-07-2014,10-13-2014,10-16-2014,11-30-2014,11-19-2014,11-19-2014,11-24-2014,15680,"$50,253.75"
Recovery Program - Venetian Isles,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2014,09-22-2014,10-13-2014,10-16-2014,10-29-2014,10-30-2014,10-30-2014,11-21-2014,15681,"$23,992.33"
Recovery Program - Lower Ninth Ward Quadrant 1,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2014,10-03-2014,10-06-2014,10-06-2014,10-15-2014,11-06-2014,11-06-2014,11-12-2014,15616,"$21,824.78"
Recovery Program - Read Blvd West,Principal Engineering Inc.,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-07-2014,10-02-2014,10-06-2014,10-06-2014,10-16-2014,11-06-2014,11-06-2014,11-06-2014,15618,"$138,127.99"
Recovery Program - St. Claude Phase II Group 1,HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-26-2014,10-01-2014,10-06-2014,10-06-2014,10-16-2014,11-06-2014,11-06-2014,11-12-2014,15619,"$17,033.58"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-26-2014,09-26-2014,10-03-2014,10-06-2014,10-15-2014,11-06-2014,11-06-2014,11-12-2014,15599,"$10,255.28"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-26-2014,09-26-2014,10-03-2014,10-03-2014,10-16-2014,01-12-2015,01-12-2015,01-15-2015,15600,"$32,767.48"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-26-2014,09-26-2014,10-03-2014,10-03-2014,10-16-2014,01-22-2015,01-22-2015,01-28-2015,15601,$143.58
Recovery Program - St. Claude Quadrant 2,Rahman & Associates,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-29-2014,09-29-2014,10-02-2014,10-02-2014,10-06-2014,01-07-2015,01-07-2015,01-07-2015,15587,"$53,033.59"
Recovery Program - Broadmoor,Digital Engineering and Imaging,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-28-2014,09-22-2014,09-30-2014,10-08-2014,10-16-2014,11-06-2014,11-06-2014,11-14-2014,14958,"$6,837.45"
Recovery Program - Gentilly Terrace and Desire Area Development ,Phoenix Global Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-05-2014,09-05-2014,09-24-2014,09-25-2014,10-01-2014,03-17-2015,03-17-2015,05-21-2015,15545,$654.97
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-22-2014,09-22-2014,09-23-2014,10-01-2014,10-14-2014,11-06-2014,11-06-2014,11-14-2014,15539,"$2,822.97"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-22-2014,09-22-2014,09-23-2014,10-01-2014,10-14-2014,11-06-2014,11-06-2014,11-14-2014,15540,"$21,537.32"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-22-2014,09-22-2014,09-23-2014,10-01-2014,10-07-2014,10-20-2014,10-20-2014,10-23-2014,15541,"$177,429.49"
Recovery Program - Pontchartrain Park,"Stanley Consultants, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-30-2014,09-11-2014,09-19-2014,09-30-2014,10-08-2014,10-27-2014,10-27-2014,11-06-2014,15506,"$13,629.16"
Recovery Program - St. Claude Quadrant 1,Julien Engineering & Consulting,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2014,09-18-2014,09-19-2014,09-22-2014,09-24-2014,10-08-2014,10-08-2014,10-09-2014,15514,"$77,678.01"
Recovery Program - Milneburg - SWB,Hatch Mott MacDonald LLC,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2014,09-10-2014,09-17-2014,10-03-2014,10-14-2014,11-06-2014,11-06-2014,11-12-2014,15497,"$7,311.76"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-23-2014,09-12-2014,09-15-2014,09-18-2014,09-23-2014,10-08-2014,10-08-2014,10-10-2014,15478,"$134,390.21"
Recovery Program - Venetian Isles,"Ardaman & Associates, Inc",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-15-2014,09-10-2014,09-12-2014,09-15-2014,09-25-2014,10-01-2014,10-01-2014,11-18-2014,15458,$793.08
Recovery Program - Lakewood - SWB,Phoenix Global Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-05-2014,09-05-2014,09-11-2014,09-12-2014,09-17-2014,03-17-2015,03-17-2015,05-21-2015,15448,$348.04
Recovery Program - Gentilly Terrace and Desire Area Development ,Phoenix Global Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-05-2014,09-05-2014,09-11-2014,09-12-2014,09-17-2014,10-20-2014,10-20-2014,10-23-2014,15449,"$7,051.06"
Recovery Program - St. Claude Phase II Group 1,HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-22-2014,08-27-2014,09-03-2014,09-03-2014,09-05-2014,09-22-2014,09-22-2014,09-29-2014,15370,"$15,584.56"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-14-2014,08-20-2014,09-03-2014,09-03-2014,09-15-2014,11-11-2014,11-11-2014,11-13-2014,15371,"$187,001.18"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-28-2014,08-01-2014,08-29-2014,08-29-2014,09-12-2014,09-25-2014,09-25-2014,09-26-2014,15342,"$292,516.81"
Recovery Program - Central City,"C. H. Fenstermaker & Associates, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-26-2014,08-15-2014,08-29-2014,09-11-2014,09-17-2014,10-08-2014,10-08-2014,10-09-2014,15346,"$5,509.49"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-26-2014,08-26-2014,08-28-2014,08-29-2014,09-12-2014,09-25-2014,09-25-2014,09-26-2014,15343,"$329,054.49"
Recovery Program - Venetian Isles,"Ardaman & Associates, Inc",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-15-2014,08-19-2014,08-25-2014,08-26-2014,09-04-2014,01-07-2015,01-07-2015,01-07-2015,15314,$809.08
"Recovery Program - Seventh Ward, Fairgrounds/Bayou St. John",Urban Systems,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-11-2014,08-20-2014,08-22-2014,08-29-2014,09-12-2014,09-22-2014,09-22-2014,09-23-2014,15248,"$49,479.26"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,08-19-2014,08-22-2014,08-22-2014,08-27-2014,11-11-2014,11-11-2014,11-13-2014,15275,"$99,223.32"
"Recovery Program - BW Cooper, Dixon, Gert Town","CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2014,08-07-2014,08-19-2014,08-22-2014,09-10-2014,09-10-2014,09-10-2014,09-15-2014,15179,"$104,834.08"
Recovery Program - Village De L'Est,"Stanley Consultants, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-01-2014,07-14-2014,08-11-2014,08-19-2014,08-29-2014,09-22-2014,09-22-2014,09-23-2014,15175,"$134,634.02"
Recovery Program - Lakeview Quadrant 1,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-02-2014,08-07-2014,08-11-2014,08-12-2014,08-15-2014,09-02-2014,09-02-2014,09-08-2014,15178,"$83,866.72"
Recovery Program - Lower Ninth Ward Quadrant 1,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,08-03-2014,08-08-2014,08-08-2014,08-11-2014,08-22-2014,08-22-2014,08-25-2014,15165,"$25,692.46"
Recovery Program - St. Claude Phase II Group 1,HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-25-2014,07-31-2014,08-05-2014,08-06-2014,08-06-2014,08-20-2014,08-20-2014,08-25-2014,15136,"$13,102.75"
Recovery Program - Pines Village,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-04-2014,08-04-2014,08-05-2014,08-06-2014,08-07-2014,10-27-2014,10-27-2014,11-14-2014,15142,"$49,769.69"
Recovery Program - Central City,"C. H. Fenstermaker & Associates, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-28-2014,07-15-2014,07-30-2014,08-08-2014,08-08-2014,09-02-2014,09-02-2014,09-03-2014,15111,"$9,473.16"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2014,07-28-2014,07-28-2014,07-28-2014,07-31-2014,08-07-2014,08-07-2014,08-07-2014,15079,"$268,291.78"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-27-2014,07-18-2014,07-28-2014,07-29-2014,07-29-2014,08-20-2014,08-20-2014,08-25-2014,15081,"$16,995"
Recovery Program - Hollygrove and Leonidas,Waggoner Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-01-2014,07-09-2014,07-16-2014,07-17-2014,07-18-2014,07-28-2014,07-28-2014,07-28-2014,15018,"$11,991.26"
Recovery Program - Lakeshore,"Ardaman & Associates, Inc",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-13-2014,07-06-2014,07-15-2014,07-17-2014,07-18-2014,07-28-2014,07-28-2014,07-28-2014,13793,"$41,675"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2014,07-14-2014,07-15-2014,07-15-2014,07-17-2014,07-21-2014,07-21-2014,07-21-2014,14787,"$216,574.92"
